id,title,url,isPaid,price,numSubscribers,numReviews,numPublishedLectures,instructionalLevel,contentInfo,publishedTime,,,Is Paid,Total,Column1
948974,THE Forex Robot: Incredible ROI (Robot Included),https://www.udemy.com/the-forex-robot-1000-annual-profit-robot-included/,TRUE,200,1843,171,35,All Levels,1.5 hours,2016-10-04T15:20:57Z,,,,,
380970,The Complete Bitcoin Course: Get .001 Bitcoin In Your Wallet,https://www.udemy.com/bitcoin-for-beginners/,TRUE,45,8797,449,80,All Levels,6.5 hours,2015-01-09T03:55:15Z,,,,,
1217778,Mastering High Probability Iron Condor Options Trading,https://www.udemy.com/mastering-high-probability-iron-condor-options-trading/,TRUE,200,1030,11,22,All Levels,2 hours,2017-06-01T05:22:08Z,,,,,
1246208,The Complete Short Course on Ethereum,https://www.udemy.com/ethereum1/,TRUE,200,1041,12,28,All Levels,1.5 hours,2017-06-11T19:02:03Z,,,,,
434774,Options Trading Stocks: Proven Toolbox For Financial Success,https://www.udemy.com/trading-stock-options-ii-simplified-strategies-for-success/,TRUE,195,7884,118,68,Intermediate Level,10 hours,2015-05-19T23:25:41Z,,,,,
308690,Forex Trading A-Z™ - With LIVE Examples of Forex Trading,https://www.udemy.com/forex-trading/,TRUE,195,16900,2476,52,Beginner Level,5.5 hours,2014-12-12T23:58:39Z,,,,,
888716,"Introduction to Finance, Accounting, Modeling and Valuation",https://www.udemy.com/introduction-to-accounting-finance-modeling-valuation-by-chris-haroun/,TRUE,200,11441,1118,61,All Levels,4.5 hours,2016-06-28T06:12:23Z,,,,,
321410,Beginner to Pro in Excel: Financial Modeling and Valuation,https://www.udemy.com/beginner-to-pro-in-excel-financial-modeling-and-valuation/,TRUE,195,22257,2697,138,All Levels,7.5 hours,2014-11-25T23:00:40Z,,,,,
965832,The Complete Investment Banking Course 2017,https://www.udemy.com/the-complete-investment-banking-course-2016/,TRUE,195,8575,809,110,All Levels,5.5 hours,2016-10-10T16:16:26Z,,,,,
648826,The Complete Financial Analyst Course 2017,https://www.udemy.com/the-complete-financial-analyst-course/,TRUE,195,24481,2347,174,All Levels,10 hours,2016-01-21T01:38:48Z,,,,,
1035472,Python for Finance: Investment Fundamentals & Data Analytics,https://www.udemy.com/python-for-finance-investment-fundamentals-data-analytics/,TRUE,195,3811,278,103,All Levels,6.5 hours,2017-03-30T22:17:09Z,,,,,
1154754,Financial Modeling for Startups & Small Businesses,https://www.udemy.com/financial-modeling-for-startups-small-businesses/,TRUE,195,4991,137,79,Beginner Level,11.5 hours,2017-03-29T22:36:05Z,,,,,
627540,Options Trading - How to Win with Weekly Options,https://www.udemy.com/work-from-home-setup-your-own-options-trading-business/,TRUE,115,7489,1190,25,Intermediate Level,1 hour,2015-10-22T21:54:28Z,,,,,
301442,Black Algo Trading: Build Your Trading Robot,https://www.udemy.com/build-your-trading-robot/,TRUE,200,20195,1113,227,All Levels,16 hours,2014-10-27T22:01:36Z,,,,,
640100,Accounting & Financial Statement Analysis: Complete Training,https://www.udemy.com/accounting-fsa-a-solid-foundation-for-a-career-in-finance/,TRUE,150,10042,594,43,All Levels,3 hours,2015-10-22T00:03:48Z,,,,,
1247394,Cryptocurrency Trading: Complete Guide To Trading Altcoins,https://www.udemy.com/cryptocurrency-trading/,TRUE,95,367,42,35,All Levels,5 hours,2017-06-21T23:18:47Z,,,,,
260470,Forex Robots: Expect To Earn 175% P.A. Forex Robot Included!,https://www.udemy.com/backtesting/,TRUE,200,10603,872,42,All Levels,5.5 hours,2014-10-12T21:19:11Z,,,,,
1214702,Three Steps Trading - Live Trading - Real Account,https://www.udemy.com/three-steps-trading-live-trading-real-account/,TRUE,190,1197,11,46,All Levels,5 hours,2017-05-24T23:02:07Z,,,,,
848664,Option Trading for Rookies:  Understand Options Completely,https://www.udemy.com/complete-course-introduction-to-option-trading/,TRUE,150,2893,65,62,All Levels,2 hours,2016-08-10T15:27:06Z,,,,,
1142570,How I Learned Stock Trading (and How You Can Too),https://www.udemy.com/best-stock-traders/,TRUE,200,1580,12,53,Expert Level,2 hours,2017-05-02T21:20:54Z,,,,,
325834,Learn to Trade for Profit: Find and Trade Winning Stocks,https://www.udemy.com/trading-stocks-successfully-introduction-to-stock-trading/,TRUE,95,10605,71,77,All Levels,3 hours,2014-10-24T18:13:49Z,,,,,
411168,Trading Inside Bars - Master 1 Easy Pattern To Be Successful,https://www.udemy.com/trading-inside-bars-find-setups-today-make-money-tomorrow/,TRUE,125,2996,200,23,Intermediate Level,2 hours,2015-03-09T00:24:38Z,,,,,
885974,Four Fundamentals of Financial Planning,https://www.udemy.com/four-fundamentals-of-financial-planning/,TRUE,30,6219,23,20,All Levels,1 hour,2017-02-14T04:42:58Z,,,,,
1151092,Options Trading - Calendar Spread Course for Every Trader,https://www.udemy.com/options-trading-calendar-spread-course-for-every-trader/,TRUE,200,1113,11,17,All Levels,1.5 hours,2017-04-02T21:46:00Z,,,,,
