SNO,SN,Movie,Worldwide,India Net,India Gross,Overseas,Budget,Verdict
881,882,Stanley Ka Dabba,70000000,50000000,70000000,0,40000000,Below Average
882,883,Masoom,80000000,50000000,80000000,0,10000000,Hit
883,884,Yeh Dillagi,100000000,50000000,100000000,0,20000000,Hit
884,885,Aflatoon,90000000,50000000,70000000,20000000,40000000,Below Average
885,886,Bobby,290000000,50000000,100000000,190000000,10000000,Blockbuster
886,887,Mr. India,100000000,50000000,100000000,0,20000000,SuperHit
887,888,Mughal-e-Azam,100000000,50000000,100000000,0,0,All Time Blockbuster
888,889,Dil Ka Rishta,130000000,50000000,70000000,50000000,80000000,Flop
889,890,Rehnaa Hai Terre Dil Mein,100000000,50000000,80000000,10000000,50000000,Below Average
890,891,Bewafa Sanam,70000000,50000000,70000000,0,10000000,SuperHit
891,892,Yeh Hai Jalwa,90000000,50000000,70000000,10000000,70000000,Flop
892,893,Sirf Tum,100000000,50000000,90000000,10000000,20000000,Hit
893,894,Khichdi: The Movie,70000000,50000000,70000000,0,40000000,Average
894,895,Bangistan,80000000,50000000,70000000,10000000,250000000,Disaster
895,896,Style,70000000,50000000,70000000,0,20000000,Above Average
896,897,Aunty No. 1,90000000,50000000,90000000,0,40000000,Below Average
897,898,Hum Hain Rahi Pyar Ke,90000000,50000000,80000000,10000000,20000000,SuperHit
898,899,Roti Kapda Aur Makaan,100000000,50000000,100000000,0,10000000,Blockbuster
899,900,Lahu Ke Do Rang,90000000,50000000,60000000,20000000,50000000,Flop
900,901,Andaz Apna Apna,70000000,50000000,70000000,0,30000000,Average
901,902,Kyaa Dil Ne Kahaa,80000000,50000000,70000000,10000000,60000000,Below Average
902,903,Ravan Raaj: A True Story,70000000,50000000,70000000,0,20000000,Hit
903,904,Baazi,70000000,40000000,70000000,0,30000000,Below Average
904,905,Notebook,60000000,40000000,60000000,0,200000000,Flop
905,906,Indu Sarkar,60000000,40000000,60000000,0,10000000,0
906,907,Game Over,160000000,40000000,140000000,10000000,200000000,Below Average
907,908,Nil Battey Sannata,60000000,40000000,60000000,0,70000000,Flop
908,909,The Zoya Factor,80000000,40000000,60000000,10000000,300000000,Disaster
909,910,Dobaaraa,10000000,40000000,50000000,0,10000000,0
910,911,Dasara,1180000000,40000000,960000000,220000000,650000000,SuperHit
911,912,Zamana Deewana,70000000,40000000,60000000,0,40000000,Flop
912,913,Elaan,80000000,40000000,80000000,0,10000000,Hit
913,914,Tutak Tutak Tutiya,60000000,40000000,60000000,0,110000000,Flop
914,915,Helicopter Eela,70000000,40000000,50000000,10000000,150000000,Flop
915,916,Bol Radha Bol,80000000,40000000,80000000,0,20000000,Hit
916,917,Tum Bin 2,60000000,40000000,60000000,0,150000000,Flop
917,918,Khuddar,70000000,40000000,70000000,0,10000000,Above Average
918,919,Tum Bin - Love Will Find a Way,70000000,40000000,60000000,0,20000000,Average
919,920,Taarzan: The Wonder Car,60000000,40000000,50000000,0,140000000,Disaster
920,921,Junooniyat,50000000,40000000,50000000,0,110000000,Disaster
921,922,Shazam! Fury Of The Gods,11000000000,40000000,190000000,6200000000,9000000000,0
922,923,Khiladi,70000000,40000000,60000000,10000000,20000000,SuperHit
923,924,Mother India,90000000,40000000,80000000,0,10000000,All Time Blockbuster
924,925,Sanam Bewafa,80000000,40000000,80000000,0,20000000,Hit
925,926,Chandni Bar,60000000,40000000,60000000,0,10000000,Hit
926,927,Maidan-E-Jung,60000000,40000000,60000000,0,30000000,Below Average
927,928,Dil Hai Ke Manta Nahin,70000000,40000000,60000000,10000000,10000000,Hit
928,929,Dhaakad,0,40000000,40000000,0,10000000,Disaster
929,930,Kabzaa,340000000,40000000,320000000,10000000,10000000,0
930,931,Nanu Ki Jaanu,0,40000000,0,0,150000000,Flop
931,932,Jo Jeeta Wohi Sikander,60000000,30000000,50000000,10000000,20000000,Hit
932,933,No Time To Die,11000000000,30000000,190000000,11000000000,18500000000,0
933,934,Sangam,80000000,30000000,70000000,10000000,0,Blockbuster
934,935,Zamane Se Kya Darna,60000000,30000000,60000000,0,20000000,Average
935,936,Kaanchi...,50000000,30000000,50000000,0,200000000,Disaster
936,937,Janhit Mein Jaari,50000000,30000000,40000000,10000000,10000000,0
937,938,Kabhi Haan Kabhi Naa,50000000,30000000,50000000,0,10000000,Above Average
938,939,Traffic,50000000,30000000,50000000,0,90000000,Flop
939,940,Darbar,2470000000,30000000,1730000000,740000000,2000000000,Below Average
940,941,Insaaf,60000000,30000000,50000000,10000000,30000000,Flop
941,942,Jayantabhai Ki Luv Story,50000000,30000000,50000000,0,130000000,Disaster
942,943,Mitron,50000000,30000000,40000000,0,150000000,Flop
943,944,Don,70000000,30000000,70000000,0,10000000,SuperHit
944,945,Fareb,60000000,30000000,60000000,0,10000000,Hit
945,946,Masaan,40000000,30000000,40000000,0,70000000,Disaster
946,947,Gunga Jumna,100000000,30000000,60000000,40000000,0,All Time Blockbuster
947,948,Haathi Mere Saathi,60000000,30000000,60000000,0,10000000,Blockbuster
948,949,Suraj Pe Mangal Bhari,40000000,30000000,30000000,0,250000000,0
949,950,Aashiqui,50000000,30000000,40000000,0,10000000,Blockbuster
950,951,Dhokha: Round D Corner,40000000,30000000,30000000,0,200000000,0
951,952,Jalebi,40000000,30000000,40000000,0,10000000,Flop
952,953,Disco Dancer,1000000000,30000000,60000000,940000000,20000000,Hit
953,954,Seeta Aur Geeta,160000000,30000000,60000000,100000000,10000000,Blockbuster
954,955,Chehre,40000000,30000000,30000000,0,10000000,0
955,956,Laal Kaptaan,40000000,30000000,30000000,0,400000000,Disaster
956,957,Udaan,40000000,30000000,40000000,0,40000000,Flop
957,958,Kuch Kuch Locha Hai,40000000,30000000,40000000,0,130000000,Disaster
958,959,Kaafila,40000000,30000000,30000000,0,150000000,Disaster
959,960,Buddha Mar Gaya,50000000,30000000,40000000,10000000,40000000,Flop
960,961,One Night Stand,40000000,30000000,40000000,0,150000000,Disaster
961,962,Zaalim,50000000,30000000,50000000,0,10000000,Average
962,963,Chori Chori,50000000,30000000,40000000,10000000,60000000,Flop
963,964,Pihu,30000000,30000000,30000000,0,20000000,Above Average
964,965,Zanjeer,60000000,30000000,60000000,0,10000000,Blockbuster
965,966,Waqt,60000000,20000000,50000000,0,10000000,Blockbuster
966,967,The Batman,19000000000,20000000,430000000,9000000000,10000000,Average
967,968,Hum Hain Bemisaal,40000000,20000000,40000000,0,20000000,Flop
968,969,Mere Mehboob,50000000,20000000,50000000,0,0,Blockbuster
969,970,Angaaray,50000000,20000000,30000000,10000000,30000000,Flop
970,971,Qayamat Se Qayamat Tak,50000000,20000000,40000000,10000000,10000000,SuperHit
971,972,Waiting,30000000,20000000,30000000,0,70000000,Disaster
972,973,Mili,30000000,20000000,30000000,0,100000000,0
973,974,Malaal,30000000,20000000,30000000,0,100000000,Disaster
974,975,Laila Majnu,30000000,20000000,30000000,0,100000000,Flop
975,976,Manto,30000000,20000000,30000000,0,100000000,Disaster
976,977,Phool Aur Paththar,140000000,20000000,50000000,90000000,0,Blockbuster
977,978,The Body,30000000,20000000,30000000,0,300000000,Disaster
978,979,Master,2230000000,20000000,1780000000,440000000,1350000000,Blockbuster
979,980,Aggar,90000000,20000000,80000000,10000000,10000000,0
980,981,Jai Kishen,40000000,20000000,40000000,0,20000000,Average
981,982,Phobia,30000000,20000000,30000000,0,80000000,Disaster
982,983,Mard Ko Dard Nahi Hota,30000000,20000000,30000000,0,210000000,Disaster
983,984,Aligarh,30000000,20000000,30000000,0,110000000,Disaster
984,985,Bhangra Paa Le,20000000,20000000,20000000,0,80000000,0
985,986,Fantastic Beasts: The Secrets of Dumbledore,0,20000000,110000000,0,10000000,Average
986,987,Salaam Venky,30000000,20000000,20000000,0,150000000,0
987,988,Uncharted,11000000000,20000000,100000000,6700000000,9000000000,Flop
988,989,Pailwaan,520000000,20000000,480000000,40000000,400000000,Average
989,990,Gandhi Godse Ek Yudh,0,20000000,0,0,10000000,0
990,991,Mere Jeevan Saathi,30000000,20000000,30000000,0,110000000,Disaster
991,992,Shabaash Mithu,10000000,20000000,20000000,0,10000000,0
992,993,Bheed,20000000,20000000,20000000,0,10000000,0
993,994,Jai Mummy Di,30000000,20000000,20000000,0,200000000,0
994,995,Love Sonia,30000000,20000000,30000000,0,150000000,Flop
995,996,Nikamma,0,20000000,20000000,0,10000000,0
996,997,Saugandh,30000000,20000000,30000000,0,20000000,Average
997,998,Akaash Vani,30000000,20000000,20000000,0,100000000,Disaster
998,999,Zwigato,10000000,20000000,10000000,0,10000000,0
999,1000,FryDay,20000000,20000000,20000000,0,150000000,Disaster
